id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
9358,Women,Accessories,Socks,Socks,Red,Fall,2011.0,Casual,Puma Women Sport Pack of 3 White Socks
10249,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Hahk Brown Handbags
49010,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring
34968,Women,Accessories,Stoles,Stoles,Blue,Summer,2012.0,Ethnic,Fabindia Women Printed Blue Chanderi Stole
26433,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Spice Art Women Leatherette Black Handbag
5266,Unisex,Accessories,Bags,Backpacks,Grey,Winter,2015.0,Casual,Wildcraft Unisex Schoolbag Grey Backpack
25083,Men,Accessories,Accessories,Accessory Gift Set,Red,Winter,2015.0,Formal,Lino Perros Men Formal Red Accessory Gift Set
29894,Women,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Mayhem Women Sunglasses 1012-104
17115,Women,Accessories,Bags,Clutches,Blue,Winter,2015.0,Casual,Lino Perros Women Classic Blue Clutch
51718,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Allen Solly Unisex Sunglasses
32310,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Q&Q Men Black Dial Watch
21327,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Louis Philippe Men Sunglasses LP202-C1
19765,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Ice Unisex Stone Black Watch
9487,Unisex,Accessories,Bags,Backpacks,Grey,Fall,2011.0,Casual,Puma Unisex Big Cat Grey Backpacks
22939,Women,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Fastrack Women Grey Casual Watch
29126,Women,Accessories,Eyewear,Sunglasses,Purple,Winter,2016.0,Casual,Vogue Women Purple Sunglasses
59504,Women,Accessories,Jewellery,Necklace and Chains,Silver,Summer,2013.0,Casual,Lucera Silver Necklace
48232,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,United Colors of Benetton Women Black Sunglasses
31926,Women,Accessories,Bags,Clutches,Blue,Summer,2012.0,Casual,Fabindia Women Blue Silk Purse
46559,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Timex Men Black Dial Watch
35080,Men,Accessories,Ties,Ties,Navy Blue,Summer,2012.0,Formal,Allen Solly Men Navy Blue Tie
