id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_file
9358,Women,Accessories,Socks,Socks,Red,Fall,2011.0,Casual,Puma Women Sport Pack of 3 White Socks,9358.jpg
10249,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Hahk Brown Handbags,10249.jpg
49010,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring,49010.jpg
34968,Women,Accessories,Stoles,Stoles,Blue,Summer,2012.0,Ethnic,Fabindia Women Printed Blue Chanderi Stole,34968.jpg
26433,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Spice Art Women Leatherette Black Handbag,26433.jpg
5266,Unisex,Accessories,Bags,Backpacks,Grey,Winter,2015.0,Casual,Wildcraft Unisex Schoolbag Grey Backpack,5266.jpg
25083,Men,Accessories,Accessories,Accessory Gift Set,Red,Winter,2015.0,Formal,Lino Perros Men Formal Red Accessory Gift Set,25083.jpg
29894,Women,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Mayhem Women Sunglasses 1012-104,29894.jpg
17115,Women,Accessories,Bags,Clutches,Blue,Winter,2015.0,Casual,Lino Perros Women Classic Blue Clutch,17115.jpg
51718,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Allen Solly Unisex Sunglasses,51718.jpg
32310,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Q&Q Men Black Dial Watch,32310.jpg
21327,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Louis Philippe Men Sunglasses LP202-C1,21327.jpg
19765,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Ice Unisex Stone Black Watch,19765.jpg
9487,Unisex,Accessories,Bags,Backpacks,Grey,Fall,2011.0,Casual,Puma Unisex Big Cat Grey Backpacks,9487.jpg
22939,Women,Accessories,Watches,Watches,Grey,Winter,2016.0,Casual,Fastrack Women Grey Casual Watch,22939.jpg
29126,Women,Accessories,Eyewear,Sunglasses,Purple,Winter,2016.0,Casual,Vogue Women Purple Sunglasses,29126.jpg
59504,Women,Accessories,Jewellery,Necklace and Chains,Silver,Summer,2013.0,Casual,Lucera Silver Necklace,59504.jpg
48232,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,United Colors of Benetton Women Black Sunglasses,48232.jpg
31926,Women,Accessories,Bags,Clutches,Blue,Summer,2012.0,Casual,Fabindia Women Blue Silk Purse,31926.jpg
